"id","taxid","domain","kingdom","phylum","class","order","family","genus","species","IsLower","N","nIDs","Label"
"s__Andes_orthohantavirus",1980456,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Andes_orthohantavirus",FALSE,1,1,"Andes orthohantavirus(1 peptides)"
"s__Argentinian_mammarenavirus",2169991,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Arenaviridae","Mammarenavirus","Argentinian_mammarenavirus",FALSE,4,1,"Argentinian mammarenavirus(4 peptides)"
"s__Avian_orthoavulavirus_1",2560319,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Orthoavulavirus","Avian_orthoavulavirus_1",FALSE,25,1,"Avian orthoavulavirus 1(25 peptides)"
"s__Bayou_orthohantavirus",1980459,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Bayou_orthohantavirus",FALSE,1,1,"Bayou orthohantavirus(1 peptides)"
"s__Borna_disease_virus",12455,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Bornaviridae","Borna_disease_virus__S+","Borna_disease_virus",FALSE,8,1,"Borna disease virus(8 peptides)"
"s__Bovine_orthopneumovirus",82824,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Pneumoviridae","Orthopneumovirus","Bovine_orthopneumovirus",FALSE,7,3,"Bovine orthopneumovirus(7 peptides)"
"s__Bovine_respirovirus_3",11215,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Respirovirus","Bovine_respirovirus_3",FALSE,3,1,"Bovine respirovirus 3(3 peptides)"
"s__Bundibugyo_ebolavirus",565995,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Filoviridae","Ebolavirus","Bundibugyo_ebolavirus",TRUE,25,1,"Bundibugyo ebolavirus(25 peptides)"
"s__Canine_morbillivirus",11232,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Morbillivirus","Canine_morbillivirus",FALSE,15,1,"Canine morbillivirus(15 peptides)"
"s__Crimean_Congo_hemorrhagic_fever_orthonairovirus",1980519,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Nairoviridae","Orthonairovirus","Crimean_Congo_hemorrhagic_fever_orthonairovirus",FALSE,100,1,"Crimean Congo hemorrhagic fever orthonairovirus(100 peptides)"
"s__Guertu_bandavirus",1763596,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Phenuiviridae","Bandavirus","Guertu_bandavirus",FALSE,7,1,"Guertu bandavirus(7 peptides)"
"s__Hantaan_orthohantavirus",11602,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Hantaan_orthohantavirus",FALSE,4,1,"Hantaan orthohantavirus(4 peptides)"
"s__Hendra_henipavirus",63330,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Henipavirus","Hendra_henipavirus",FALSE,1,1,"Hendra henipavirus(1 peptides)"
"s__Human_orthopneumovirus",208893,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Pneumoviridae","Orthopneumovirus","Human_orthopneumovirus",FALSE,97,10,"Human orthopneumovirus(97 peptides)"
"s__Human_respirovirus_3",11217,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Respirovirus","Human_respirovirus_3",FALSE,8,1,"Human respirovirus 3(8 peptides)"
"s__Indiana_vesiculovirus",11277,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Vesiculovirus","Indiana_vesiculovirus",FALSE,4,1,"Indiana vesiculovirus(4 peptides)"
"s__Influenza_A_virus",577543,"Viruses","Orthornavirae","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus","Influenza_A_virus",FALSE,335,116,"Influenza A virus(335 peptides)"
"s__Influenza_B_virus",604436,"Viruses","Orthornavirae","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Betainfluenzavirus","Influenza_B_virus",FALSE,3,3,"Influenza B virus(3 peptides)"
"s__Influenza_C_virus",11553,"Viruses","Orthornavirae","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Gammainfluenzavirus","Influenza_C_virus",FALSE,1,1,"Influenza C virus(1 peptides)"
"s__Isla_Vista_hantavirus",42097,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Isla_Vista_hantavirus",FALSE,1,1,"Isla Vista hantavirus(1 peptides)"
"s__La_Crosse_orthobunyavirus",11577,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","La_Crosse_orthobunyavirus",FALSE,1,1,"La Crosse orthobunyavirus(1 peptides)"
"s__Lassa_mammarenavirus",11620,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Arenaviridae","Mammarenavirus","Lassa_mammarenavirus",FALSE,12,2,"Lassa mammarenavirus(12 peptides)"
"s__Lymphocytic_choriomeningitis_mammarenavirus",11624,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Arenaviridae","Mammarenavirus","Lymphocytic_choriomeningitis_mammarenavirus",FALSE,3,2,"Lymphocytic choriomeningitis mammarenavirus(3 peptides)"
"s__Mammalian_orthorubulavirus_5",2560580,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Orthorubulavirus","Mammalian_orthorubulavirus_5",FALSE,1,1,"Mammalian orthorubulavirus 5(1 peptides)"
"s__Marburg_marburgvirus",11269,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Filoviridae","Marburgvirus","Marburg_marburgvirus",TRUE,9,3,"Marburg marburgvirus(9 peptides)"
"s__Measles_morbillivirus",11235,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Morbillivirus","Measles_morbillivirus",FALSE,63,3,"Measles morbillivirus(63 peptides)"
"s__Mobala_mammarenavirus",55097,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Arenaviridae","Mammarenavirus","Mobala_mammarenavirus",FALSE,1,1,"Mobala mammarenavirus(1 peptides)"
"s__Montano_orthohantavirus",1980481,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Montano_orthohantavirus",FALSE,1,1,"Montano orthohantavirus(1 peptides)"
"s__Mumps_orthorubulavirus",2560602,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Orthorubulavirus","Mumps_orthorubulavirus",FALSE,2,1,"Mumps orthorubulavirus(2 peptides)"
"s__Murine_respirovirus",11196,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Respirovirus","Murine_respirovirus",FALSE,6,2,"Murine respirovirus(6 peptides)"
"s__Nipah_henipavirus",121791,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Henipavirus","Nipah_henipavirus",FALSE,4,1,"Nipah henipavirus(4 peptides)"
"s__Phlebovirus_WCH_97_HN_China_2011",1173018,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Phenuiviridae","Phlebovirus","Phlebovirus_WCH_97_HN_China_2011",FALSE,4,1,"Phlebovirus WCH 97 HN China 2011(4 peptides)"
"s__Piscine_novirhabdovirus",11288,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Novirhabdovirus","Piscine_novirhabdovirus",FALSE,10,1,"Piscine novirhabdovirus(10 peptides)"
"s__Prospect_Hill_orthohantavirus",1980485,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Prospect_Hill_orthohantavirus",FALSE,1,1,"Prospect Hill orthohantavirus(1 peptides)"
"s__Puumala_orthohantavirus",39002,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Puumala_orthohantavirus",FALSE,23,2,"Puumala orthohantavirus(23 peptides)"
"s__Rabies_lyssavirus",11292,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Lyssavirus","Rabies_lyssavirus",FALSE,25,4,"Rabies lyssavirus(25 peptides)"
"s__Reston_ebolavirus",186539,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Filoviridae","Ebolavirus","Reston_ebolavirus",TRUE,8,1,"Reston ebolavirus(8 peptides)"
"s__Rift_Valley_fever_phlebovirus",11588,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Phenuiviridae","Phlebovirus","Rift_Valley_fever_phlebovirus",FALSE,3,1,"Rift Valley fever phlebovirus(3 peptides)"
"s__Rinderpest_morbillivirus",36409,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Morbillivirus","Rinderpest_morbillivirus",FALSE,8,3,"Rinderpest morbillivirus(8 peptides)"
"s__Rio_Mamore_hantavirus",46920,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Rio_Mamore_hantavirus",FALSE,1,1,"Rio Mamore hantavirus(1 peptides)"
"s__Rio_Segundo_hantavirus",37207,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Rio_Segundo_hantavirus",FALSE,1,1,"Rio Segundo hantavirus(1 peptides)"
"s__Schmallenberg_orthobunyavirus",1133363,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Schmallenberg_orthobunyavirus",FALSE,1,1,"Schmallenberg orthobunyavirus(1 peptides)"
"s__Seoul_orthohantavirus",280855,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Seoul_orthohantavirus",FALSE,3,1,"Seoul orthohantavirus(3 peptides)"
"s__Sin_Nombre_orthohantavirus",1980491,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Sin_Nombre_orthohantavirus",FALSE,1,1,"Sin Nombre orthohantavirus(1 peptides)"
"s__Sudan_ebolavirus",186540,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Filoviridae","Ebolavirus","Sudan_ebolavirus",TRUE,14,1,"Sudan ebolavirus(14 peptides)"
"s__Tomato_spotted_wilt_orthotospovirus",1933298,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Tospoviridae","Orthotospovirus","Tomato_spotted_wilt_orthotospovirus",FALSE,1,1,"Tomato spotted wilt orthotospovirus(1 peptides)"
"s__Topografov_hantavirus",83192,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Topografov_hantavirus",FALSE,1,1,"Topografov hantavirus(1 peptides)"
"s__Toscana_phlebovirus",11590,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Phenuiviridae","Phlebovirus","Toscana_phlebovirus",FALSE,3,1,"Toscana phlebovirus(3 peptides)"
"s__Tula_orthohantavirus",1980494,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Tula_orthohantavirus",FALSE,1,1,"Tula orthohantavirus(1 peptides)"
"s__Vesicular_stomatitis_virus",11276,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Vesiculovirus","Vesicular_stomatitis_virus",FALSE,1,1,"Vesicular stomatitis virus(1 peptides)"
"s__Watermelon_silver_mottle_orthotospovirus",1933300,"Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Tospoviridae","Orthotospovirus","Watermelon_silver_mottle_orthotospovirus",FALSE,1,1,"Watermelon silver mottle orthotospovirus(1 peptides)"
"s__Zaire_ebolavirus",186538,"Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Filoviridae","Ebolavirus","Zaire_ebolavirus",TRUE,156,3,"Zaire ebolavirus(156 peptides)"
